Year,RM,Crop,Yield
2011,3,Winter Wheat,33.7
2012,3,Winter Wheat,59.3
2013,3,Winter Wheat,52.4
2014,3,Winter Wheat,36.3
2015,3,Winter Wheat,33.69
2016,3,Winter Wheat,58.6
2017,3,Winter Wheat,49.94
2018,3,Winter Wheat,40.0
2019,3,Winter Wheat,40.0
2020,3,Winter Wheat,56.3
2022,3,Winter Wheat,60.0
2024,3,Winter Wheat,59.4
1992,4,Winter Wheat,30.0
1993,4,Winter Wheat,30.0
1994,4,Winter Wheat,25.0
1999,4,Winter Wheat,30.0
2010,4,Winter Wheat,56.9
2011,4,Winter Wheat,42.2
2012,4,Winter Wheat,52.8
2013,4,Winter Wheat,40.7
2014,4,Winter Wheat,28.21
2015,4,Winter Wheat,30.22
2016,4,Winter Wheat,45.5
2022,4,Winter Wheat,50.0
2023,4,Winter Wheat,30.0
1995,5,Winter Wheat,27.0
1996,5,Winter Wheat,25.0
1999,5,Winter Wheat,25.0
2000,5,Winter Wheat,50.0
2001,5,Winter Wheat,25.0
2002,5,Winter Wheat,15.0
2003,5,Winter Wheat,35.0
2010,5,Winter Wheat,48.5
2012,5,Winter Wheat,45.0
2013,5,Winter Wheat,33.4
2014,5,Winter Wheat,17.86
2015,5,Winter Wheat,34.31
2016,5,Winter Wheat,50.1
1996,6,Winter Wheat,25.0
2000,6,Winter Wheat,70.0
2009,6,Winter Wheat,33.8
2010,6,Winter Wheat,55.6
2011,6,Winter Wheat,13.1
2012,6,Winter Wheat,66.7
2013,6,Winter Wheat,51.8
2014,6,Winter Wheat,28.55
2015,6,Winter Wheat,30.06
2016,6,Winter Wheat,49.9
2003,7,Winter Wheat,36.8
2007,7,Winter Wheat,45.0
2008,7,Winter Wheat,31.3
2009,7,Winter Wheat,33.6
2010,7,Winter Wheat,62.9
2011,7,Winter Wheat,39.0
2012,7,Winter Wheat,54.5
2013,7,Winter Wheat,50.2
2014,7,Winter Wheat,47.47
2016,7,Winter Wheat,50.7
2017,7,Winter Wheat,27.06
2018,7,Winter Wheat,57.0
2019,7,Winter Wheat,45.4
1995,8,Winter Wheat,22.0
1996,8,Winter Wheat,30.0
1997,8,Winter Wheat,15.0
2010,8,Winter Wheat,47.1
2011,8,Winter Wheat,44.7
2012,8,Winter Wheat,28.0
2013,8,Winter Wheat,47.6
2014,8,Winter Wheat,28.65
2015,8,Winter Wheat,26.7
2016,8,Winter Wheat,46.6
2000,9,Winter Wheat,40.0
2007,9,Winter Wheat,20.0
2010,9,Winter Wheat,48.0
2011,9,Winter Wheat,48.5
2012,9,Winter Wheat,41.5
2013,9,Winter Wheat,44.6
2014,9,Winter Wheat,35.11
1992,10,Winter Wheat,23.0
1993,10,Winter Wheat,12.0
1994,10,Winter Wheat,28.0
1995,10,Winter Wheat,17.0
1998,10,Winter Wheat,13.0
2012,10,Winter Wheat,43.3
2013,10,Winter Wheat,35.5
2014,10,Winter Wheat,29.22
2020,10,Winter Wheat,75.4
2022,10,Winter Wheat,59.1
2025,10,Winter Wheat,39.0
1995,11,Winter Wheat,20.0
1997,11,Winter Wheat,22.6
1998,11,Winter Wheat,25.0
2007,12,Winter Wheat,20.0
2008,12,Winter Wheat,22.5
2010,12,Winter Wheat,62.0
2011,12,Winter Wheat,50.0
2012,12,Winter Wheat,50.0
2013,12,Winter Wheat,45.3
2014,12,Winter Wheat,42.91
2016,12,Winter Wheat,45.0
2017,12,Winter Wheat,8.0
2018,12,Winter Wheat,20.0
1994,17,Winter Wheat,25.0
2004,17,Winter Wheat,41.9
2005,17,Winter Wheat,38.6
2006,17,Winter Wheat,28.0
2007,17,Winter Wheat,32.0
2008,17,Winter Wheat,31.1
2009,17,Winter Wheat,40.4
2010,17,Winter Wheat,34.0
2011,17,Winter Wheat,51.0
2013,17,Winter Wheat,80.0
2014,17,Winter Wheat,41.23
2025,17,Winter Wheat,14.0
1992,18,Winter Wheat,35.0
1993,18,Winter Wheat,30.0
1994,18,Winter Wheat,30.0
1996,18,Winter Wheat,20.0
1997,18,Winter Wheat,30.0
1998,18,Winter Wheat,30.0
2009,18,Winter Wheat,28.5
2013,18,Winter Wheat,47.9
2014,18,Winter Wheat,56.77
2025,18,Winter Wheat,30.0
1993,19,Winter Wheat,30.0
1994,19,Winter Wheat,30.0
1995,19,Winter Wheat,30.0
1996,19,Winter Wheat,18.7
1997,19,Winter Wheat,25.0
1998,19,Winter Wheat,27.5
1999,19,Winter Wheat,30.0
2000,19,Winter Wheat,30.0
2001,19,Winter Wheat,35.0
2004,19,Winter Wheat,29.6
2007,19,Winter Wheat,35.5
2009,19,Winter Wheat,29.1
2011,19,Winter Wheat,45.5
2012,19,Winter Wheat,39.0
2014,19,Winter Wheat,31.01
2025,19,Winter Wheat,24.0
1996,31,Winter Wheat,27.5
1997,31,Winter Wheat,17.8
1998,31,Winter Wheat,25.5
2000,31,Winter Wheat,34.4
2001,31,Winter Wheat,36.1
2002,31,Winter Wheat,29.2
2003,31,Winter Wheat,32.1
2004,31,Winter Wheat,46.3
2005,31,Winter Wheat,36.2
2006,31,Winter Wheat,34.5
2007,31,Winter Wheat,46.7
2010,31,Winter Wheat,59.4
2011,31,Winter Wheat,30.7
2012,31,Winter Wheat,50.2
2013,31,Winter Wheat,36.6
2014,31,Winter Wheat,34.57
2015,31,Winter Wheat,39.11
2016,31,Winter Wheat,59.3
2017,31,Winter Wheat,39.62
2018,31,Winter Wheat,52.0
1992,32,Winter Wheat,25.0
1993,32,Winter Wheat,20.0
1996,32,Winter Wheat,40.0
1997,32,Winter Wheat,32.8
1998,32,Winter Wheat,37.5
1999,32,Winter Wheat,33.7
2000,32,Winter Wheat,42.1
2001,32,Winter Wheat,39.9
2002,32,Winter Wheat,23.6
2003,32,Winter Wheat,40.2
2004,32,Winter Wheat,36.9
2005,32,Winter Wheat,25.3
2007,32,Winter Wheat,41.8
2008,32,Winter Wheat,22.4
2010,32,Winter Wheat,47.8
2011,32,Winter Wheat,38.1
2012,32,Winter Wheat,59.4
2013,32,Winter Wheat,42.2
2014,32,Winter Wheat,32.74
2015,32,Winter Wheat,49.74
2016,32,Winter Wheat,61.6
2017,32,Winter Wheat,40.59
2018,32,Winter Wheat,39.0
1999,33,Winter Wheat,42.5
2000,33,Winter Wheat,40.0
2001,33,Winter Wheat,42.5
2002,33,Winter Wheat,30.0
2003,33,Winter Wheat,50.0
2004,33,Winter Wheat,45.0
2005,33,Winter Wheat,35.0
2006,33,Winter Wheat,48.3
2007,33,Winter Wheat,47.8
2008,33,Winter Wheat,42.5
2009,33,Winter Wheat,45.0
2012,33,Winter Wheat,52.3
2013,33,Winter Wheat,43.8
2014,33,Winter Wheat,42.84
2015,33,Winter Wheat,38.61
2016,33,Winter Wheat,58.2
2017,33,Winter Wheat,53.45
1992,34,Winter Wheat,38.0
1993,34,Winter Wheat,30.0
1995,34,Winter Wheat,28.0
1996,34,Winter Wheat,26.0
1997,34,Winter Wheat,16.0
1998,34,Winter Wheat,24.0
1999,34,Winter Wheat,35.0
2000,34,Winter Wheat,40.0
2001,34,Winter Wheat,34.9
2002,34,Winter Wheat,29.0
2003,34,Winter Wheat,27.7
2004,34,Winter Wheat,35.0
2005,34,Winter Wheat,30.0
2006,34,Winter Wheat,43.0
2007,34,Winter Wheat,42.8
2008,34,Winter Wheat,39.7
2009,34,Winter Wheat,45.1
2010,34,Winter Wheat,50.3
2011,34,Winter Wheat,37.5
2012,34,Winter Wheat,55.7
2013,34,Winter Wheat,20.8
2014,34,Winter Wheat,43.99
2015,34,Winter Wheat,38.82
2016,34,Winter Wheat,50.2
2017,34,Winter Wheat,39.96
2018,34,Winter Wheat,48.0
2019,34,Winter Wheat,29.0
1996,35,Winter Wheat,18.8
2000,35,Winter Wheat,54.2
2003,35,Winter Wheat,35.9
2004,35,Winter Wheat,47.5
2007,35,Winter Wheat,42.2
2008,35,Winter Wheat,37.3
2010,35,Winter Wheat,34.4
2012,35,Winter Wheat,48.2
2013,35,Winter Wheat,30.3
2014,35,Winter Wheat,32.75
2015,35,Winter Wheat,29.59
2016,35,Winter Wheat,51.3
2017,35,Winter Wheat,40.22
2018,35,Winter Wheat,26.0
1999,36,Winter Wheat,21.0
2001,36,Winter Wheat,25.0
2004,36,Winter Wheat,58.2
2005,36,Winter Wheat,35.0
2006,36,Winter Wheat,40.0
2010,36,Winter Wheat,40.0
2012,36,Winter Wheat,43.6
2013,36,Winter Wheat,43.2
2014,36,Winter Wheat,55.13
2015,36,Winter Wheat,41.01
2016,36,Winter Wheat,67.6
2017,36,Winter Wheat,34.01
2018,36,Winter Wheat,34.0
2008,37,Winter Wheat,27.0
2010,37,Winter Wheat,47.5
2012,37,Winter Wheat,63.6
2013,37,Winter Wheat,40.5
2014,37,Winter Wheat,48.82
2015,37,Winter Wheat,32.52
2016,37,Winter Wheat,59.1
2017,37,Winter Wheat,15.96
2018,37,Winter Wheat,45.0
2019,37,Winter Wheat,30.2
2003,38,Winter Wheat,25.0
2007,38,Winter Wheat,36.1
2010,38,Winter Wheat,55.6
2011,38,Winter Wheat,39.1
2012,38,Winter Wheat,52.8
2013,38,Winter Wheat,36.8
2014,38,Winter Wheat,37.55
2015,38,Winter Wheat,25.09
2016,38,Winter Wheat,45.8
2017,38,Winter Wheat,18.8
2018,38,Winter Wheat,27.5
2019,38,Winter Wheat,25.0
1992,39,Winter Wheat,25.0
1993,39,Winter Wheat,40.0
1994,39,Winter Wheat,35.0
1995,39,Winter Wheat,35.0
1996,39,Winter Wheat,30.0
1997,39,Winter Wheat,30.0
1998,39,Winter Wheat,35.0
1999,39,Winter Wheat,40.0
2000,39,Winter Wheat,30.0
2002,39,Winter Wheat,25.0
2003,39,Winter Wheat,25.0
2004,39,Winter Wheat,30.0
2007,39,Winter Wheat,35.0
2008,39,Winter Wheat,40.0
2009,39,Winter Wheat,45.0
2010,39,Winter Wheat,38.0
2011,39,Winter Wheat,47.9
2012,39,Winter Wheat,58.2
2014,39,Winter Wheat,45.42
2015,39,Winter Wheat,32.5
2005,40,Winter Wheat,25.0
2006,40,Winter Wheat,17.0
2007,40,Winter Wheat,25.0
2008,40,Winter Wheat,19.3
2009,40,Winter Wheat,16.0
2011,40,Winter Wheat,27.7
2012,40,Winter Wheat,42.7
2013,40,Winter Wheat,31.7
2014,40,Winter Wheat,21.19
2016,40,Winter Wheat,45.3
1995,42,Winter Wheat,20.0
2000,42,Winter Wheat,36.3
2001,42,Winter Wheat,25.2
2006,42,Winter Wheat,43.5
2007,42,Winter Wheat,32.5
2008,42,Winter Wheat,42.5
2009,42,Winter Wheat,40.3
2010,42,Winter Wheat,30.8
2011,42,Winter Wheat,33.6
2012,42,Winter Wheat,48.3
2013,42,Winter Wheat,39.8
2014,42,Winter Wheat,43.72
2015,42,Winter Wheat,28.73
1995,43,Winter Wheat,20.0
1996,43,Winter Wheat,20.0
1997,43,Winter Wheat,15.0
1999,43,Winter Wheat,24.5
2000,43,Winter Wheat,20.0
2001,43,Winter Wheat,28.0
2002,43,Winter Wheat,23.4
2003,43,Winter Wheat,16.0
2004,43,Winter Wheat,27.5
2006,43,Winter Wheat,25.0
2007,43,Winter Wheat,22.5
2008,43,Winter Wheat,17.5
2009,43,Winter Wheat,26.5
2010,43,Winter Wheat,16.8
2011,43,Winter Wheat,30.0
2012,43,Winter Wheat,37.8
2013,43,Winter Wheat,25.4
2014,43,Winter Wheat,35.0
2015,43,Winter Wheat,32.0
2016,43,Winter Wheat,35.0
2017,43,Winter Wheat,22.0
2018,43,Winter Wheat,25.0
2019,43,Winter Wheat,40.0
2020,43,Winter Wheat,50.0
2021,43,Winter Wheat,15.0
2022,43,Winter Wheat,40.0
2025,43,Winter Wheat,23.0
2007,44,Winter Wheat,21.5
2008,44,Winter Wheat,25.0
2009,44,Winter Wheat,22.5
2022,44,Winter Wheat,26.0
2025,44,Winter Wheat,7.0
1994,45,Winter Wheat,10.0
1995,45,Winter Wheat,33.0
1996,45,Winter Wheat,19.0
1997,45,Winter Wheat,21.0
2012,45,Winter Wheat,65.3
2014,45,Winter Wheat,39.71
2015,45,Winter Wheat,28.95
2025,45,Winter Wheat,24.0
1995,46,Winter Wheat,30.0
1996,46,Winter Wheat,20.0
1999,46,Winter Wheat,40.0
2004,46,Winter Wheat,40.0
2005,46,Winter Wheat,35.0
2014,46,Winter Wheat,37.99
1993,49,Winter Wheat,32.0
1994,49,Winter Wheat,17.5
1995,49,Winter Wheat,40.0
1996,49,Winter Wheat,30.0
1997,49,Winter Wheat,22.5
1998,49,Winter Wheat,32.0
2000,49,Winter Wheat,41.8
2004,49,Winter Wheat,40.5
2006,49,Winter Wheat,33.9
2007,49,Winter Wheat,27.9
2009,49,Winter Wheat,33.1
2010,49,Winter Wheat,31.9
2011,49,Winter Wheat,37.9
2012,49,Winter Wheat,41.4
2014,49,Winter Wheat,55.74
1993,51,Winter Wheat,30.0
1994,51,Winter Wheat,28.0
1996,51,Winter Wheat,21.0
1998,51,Winter Wheat,21.0
1999,51,Winter Wheat,30.0
2003,51,Winter Wheat,25.0
2005,51,Winter Wheat,30.5
2007,51,Winter Wheat,22.8
2008,51,Winter Wheat,25.0
2009,51,Winter Wheat,29.0
2010,51,Winter Wheat,36.0
2011,51,Winter Wheat,49.5
2012,51,Winter Wheat,44.1
2014,51,Winter Wheat,31.5
2016,51,Winter Wheat,50.9
2018,51,Winter Wheat,33.0
2019,51,Winter Wheat,31.4
2021,51,Winter Wheat,5.0
1996,61,Winter Wheat,30.0
1997,61,Winter Wheat,24.6
1999,61,Winter Wheat,37.0
2000,61,Winter Wheat,53.7
2001,61,Winter Wheat,33.8
2002,61,Winter Wheat,33.4
2003,61,Winter Wheat,35.0
2004,61,Winter Wheat,44.0
2005,61,Winter Wheat,37.0
2007,61,Winter Wheat,45.4
2008,61,Winter Wheat,51.7
2009,61,Winter Wheat,50.5
2010,61,Winter Wheat,56.4
2011,61,Winter Wheat,37.6
2012,61,Winter Wheat,57.0
2013,61,Winter Wheat,54.3
2014,61,Winter Wheat,31.11
2015,61,Winter Wheat,35.32
2016,61,Winter Wheat,69.3
2017,61,Winter Wheat,49.26
2022,61,Winter Wheat,45.0
1992,63,Winter Wheat,25.0
1995,63,Winter Wheat,30.0
2000,63,Winter Wheat,44.3
2001,63,Winter Wheat,25.8
2002,63,Winter Wheat,34.7
2005,63,Winter Wheat,28.1
2009,63,Winter Wheat,40.0
2010,63,Winter Wheat,35.0
2011,63,Winter Wheat,35.0
2012,63,Winter Wheat,56.8
2014,63,Winter Wheat,82.2
2015,63,Winter Wheat,43.8
2016,63,Winter Wheat,58.9
2017,63,Winter Wheat,65.12
1995,64,Winter Wheat,30.0
1996,64,Winter Wheat,20.0
2000,64,Winter Wheat,47.5
2008,64,Winter Wheat,40.0
2009,64,Winter Wheat,32.0
2010,64,Winter Wheat,40.0
2011,64,Winter Wheat,38.4
2012,64,Winter Wheat,60.8
2013,64,Winter Wheat,35.0
2014,64,Winter Wheat,38.58
2015,64,Winter Wheat,37.65
2016,64,Winter Wheat,40.0
2017,64,Winter Wheat,40.0
2018,64,Winter Wheat,40.0
1994,65,Winter Wheat,24.0
1995,65,Winter Wheat,28.0
1996,65,Winter Wheat,27.0
1999,65,Winter Wheat,22.0
2000,65,Winter Wheat,50.0
2001,65,Winter Wheat,20.0
2010,65,Winter Wheat,45.5
2012,65,Winter Wheat,48.5
2014,65,Winter Wheat,26.68
2016,65,Winter Wheat,53.4
1992,66,Winter Wheat,30.0
1994,66,Winter Wheat,25.0
1995,66,Winter Wheat,36.5
1996,66,Winter Wheat,33.4
1997,66,Winter Wheat,22.6
1999,66,Winter Wheat,30.0
2000,66,Winter Wheat,40.5
2001,66,Winter Wheat,30.8
2002,66,Winter Wheat,12.1
2008,66,Winter Wheat,25.3
2010,66,Winter Wheat,53.8
2012,66,Winter Wheat,58.7
2013,66,Winter Wheat,37.2
2014,66,Winter Wheat,25.42
2015,66,Winter Wheat,35.67
2016,66,Winter Wheat,64.5
2017,66,Winter Wheat,34.82
2022,66,Winter Wheat,54.8
1998,67,Winter Wheat,35.0
1999,67,Winter Wheat,40.0
2000,67,Winter Wheat,30.0
2001,67,Winter Wheat,32.0
2002,67,Winter Wheat,25.0
2003,67,Winter Wheat,30.0
2005,67,Winter Wheat,35.0
2006,67,Winter Wheat,42.0
2008,67,Winter Wheat,34.3
2009,67,Winter Wheat,45.0
2010,67,Winter Wheat,45.0
2011,67,Winter Wheat,40.8
2012,67,Winter Wheat,58.1
2013,67,Winter Wheat,47.0
2014,67,Winter Wheat,57.18
2015,67,Winter Wheat,42.51
2016,67,Winter Wheat,59.8
2017,67,Winter Wheat,28.61
2018,67,Winter Wheat,33.0
2019,67,Winter Wheat,48.0
2020,67,Winter Wheat,49.0
2021,67,Winter Wheat,31.0
1992,68,Winter Wheat,30.0
1993,68,Winter Wheat,30.0
1995,68,Winter Wheat,25.0
1997,68,Winter Wheat,19.5
1998,68,Winter Wheat,13.5
1999,68,Winter Wheat,28.6
2000,68,Winter Wheat,27.7
2008,68,Winter Wheat,30.0
2012,68,Winter Wheat,50.7
2013,68,Winter Wheat,30.1
2014,68,Winter Wheat,48.84
2015,68,Winter Wheat,27.59
1992,69,Winter Wheat,30.0
1993,69,Winter Wheat,35.0
2006,69,Winter Wheat,20.0
2007,69,Winter Wheat,41.4
2009,69,Winter Wheat,46.0
2011,69,Winter Wheat,41.5
2012,69,Winter Wheat,39.6
2013,69,Winter Wheat,21.6
2014,69,Winter Wheat,43.32
2015,69,Winter Wheat,40.01
2017,69,Winter Wheat,25.43
2005,70,Winter Wheat,36.8
2006,70,Winter Wheat,36.5
2007,70,Winter Wheat,20.0
2008,70,Winter Wheat,20.0
2010,70,Winter Wheat,23.0
2011,70,Winter Wheat,40.1
2012,70,Winter Wheat,48.2
2013,70,Winter Wheat,19.6
2004,71,Winter Wheat,35.0
2005,71,Winter Wheat,43.2
2006,71,Winter Wheat,43.7
2007,71,Winter Wheat,35.1
2008,71,Winter Wheat,32.6
2009,71,Winter Wheat,30.7
2010,71,Winter Wheat,57.5
2011,71,Winter Wheat,51.9
2012,71,Winter Wheat,54.6
2013,71,Winter Wheat,36.1
2014,71,Winter Wheat,40.91
2016,71,Winter Wheat,62.6
2000,72,Winter Wheat,59.4
2006,72,Winter Wheat,38.9
2007,72,Winter Wheat,39.9
2008,72,Winter Wheat,34.2
2010,72,Winter Wheat,48.0
2011,72,Winter Wheat,60.7
2012,72,Winter Wheat,73.6
2013,72,Winter Wheat,37.7
2014,72,Winter Wheat,65.66
2016,72,Winter Wheat,62.6
2017,72,Winter Wheat,29.23
2010,73,Winter Wheat,38.7
2011,73,Winter Wheat,65.2
2012,73,Winter Wheat,50.7
2014,73,Winter Wheat,40.9
2024,73,Winter Wheat,33.3
2006,74,Winter Wheat,49.3
2007,74,Winter Wheat,36.0
2008,74,Winter Wheat,24.1
2010,74,Winter Wheat,37.7
2011,74,Winter Wheat,38.5
2012,74,Winter Wheat,49.8
2013,74,Winter Wheat,28.8
2014,74,Winter Wheat,43.33
2016,74,Winter Wheat,58.3
2022,74,Winter Wheat,14.0
2024,74,Winter Wheat,37.5
2025,74,Winter Wheat,20.0
2004,75,Winter Wheat,45.0
2005,75,Winter Wheat,30.0
2008,75,Winter Wheat,26.0
2009,75,Winter Wheat,25.0
2010,75,Winter Wheat,46.7
2011,75,Winter Wheat,50.0
2012,75,Winter Wheat,49.3
2013,75,Winter Wheat,45.0
2014,75,Winter Wheat,25.62
2015,75,Winter Wheat,42.52
2016,75,Winter Wheat,63.8
2019,75,Winter Wheat,42.0
2025,75,Winter Wheat,19.5
2003,76,Winter Wheat,40.0
2004,76,Winter Wheat,41.3
2005,76,Winter Wheat,29.2
2006,76,Winter Wheat,17.7
2007,76,Winter Wheat,26.7
2008,76,Winter Wheat,23.7
2009,76,Winter Wheat,30.4
2010,76,Winter Wheat,38.9
2011,76,Winter Wheat,47.5
2012,76,Winter Wheat,47.3
2013,76,Winter Wheat,44.6
2014,76,Winter Wheat,40.28
2015,76,Winter Wheat,47.31
2019,76,Winter Wheat,53.2
2006,77,Winter Wheat,16.4
2007,77,Winter Wheat,36.6
2008,77,Winter Wheat,32.0
2009,77,Winter Wheat,29.5
2010,77,Winter Wheat,30.9
2011,77,Winter Wheat,38.1
2012,77,Winter Wheat,42.4
2013,77,Winter Wheat,47.0
2025,77,Winter Wheat,37.0
1994,78,Winter Wheat,45.0
1996,78,Winter Wheat,23.0
1997,78,Winter Wheat,25.0
1998,78,Winter Wheat,25.0
2004,78,Winter Wheat,62.0
2005,78,Winter Wheat,40.0
2006,78,Winter Wheat,29.5
2007,78,Winter Wheat,36.9
2008,78,Winter Wheat,30.0
2009,78,Winter Wheat,40.7
2010,78,Winter Wheat,50.4
2011,78,Winter Wheat,41.8
2012,78,Winter Wheat,53.3
2013,78,Winter Wheat,52.0
2014,78,Winter Wheat,30.13
1998,79,Winter Wheat,38.5
2000,79,Winter Wheat,46.0
2003,79,Winter Wheat,49.7
2004,79,Winter Wheat,45.0
2005,79,Winter Wheat,35.0
2006,79,Winter Wheat,22.0
2007,79,Winter Wheat,22.2
2008,79,Winter Wheat,30.0
2009,79,Winter Wheat,36.1
2010,79,Winter Wheat,46.9
2011,79,Winter Wheat,24.0
2013,79,Winter Wheat,40.0
2014,79,Winter Wheat,36.67
1997,91,Winter Wheat,25.0
1998,91,Winter Wheat,20.0
2000,91,Winter Wheat,44.9
2001,91,Winter Wheat,34.1
2006,91,Winter Wheat,45.0
2008,91,Winter Wheat,62.5
2009,91,Winter Wheat,52.5
2010,91,Winter Wheat,61.0
2011,91,Winter Wheat,34.5
2012,91,Winter Wheat,65.2
2013,91,Winter Wheat,49.7
2014,91,Winter Wheat,20.34
2016,91,Winter Wheat,61.5
2017,91,Winter Wheat,42.38
2018,91,Winter Wheat,60.0
1992,92,Winter Wheat,29.0
1996,92,Winter Wheat,40.0
1999,92,Winter Wheat,44.2
2000,92,Winter Wheat,59.5
2001,92,Winter Wheat,44.5
2002,92,Winter Wheat,30.0
2003,92,Winter Wheat,40.9
2004,92,Winter Wheat,43.8
2005,92,Winter Wheat,42.5
2007,92,Winter Wheat,47.1
2008,92,Winter Wheat,59.5
2010,92,Winter Wheat,51.6
2012,92,Winter Wheat,54.4
2013,92,Winter Wheat,45.5
2014,92,Winter Wheat,16.46
2016,92,Winter Wheat,66.4
2017,92,Winter Wheat,60.05
2023,92,Winter Wheat,50.2
1994,93,Winter Wheat,40.0
1995,93,Winter Wheat,40.0
1996,93,Winter Wheat,40.0
1998,93,Winter Wheat,36.5
1999,93,Winter Wheat,44.3
2000,93,Winter Wheat,54.4
2001,93,Winter Wheat,33.2
2002,93,Winter Wheat,24.1
2004,93,Winter Wheat,40.0
2005,93,Winter Wheat,44.8
2006,93,Winter Wheat,55.0
2007,93,Winter Wheat,57.5
2008,93,Winter Wheat,65.0
2009,93,Winter Wheat,45.6
2010,93,Winter Wheat,63.3
2012,93,Winter Wheat,50.5
2013,93,Winter Wheat,64.1
2014,93,Winter Wheat,52.32
1992,94,Winter Wheat,25.0
1993,94,Winter Wheat,30.0
1994,94,Winter Wheat,30.0
1995,94,Winter Wheat,25.0
1996,94,Winter Wheat,36.2
1997,94,Winter Wheat,25.4
1998,94,Winter Wheat,28.5
2000,94,Winter Wheat,32.1
2004,94,Winter Wheat,35.0
2008,94,Winter Wheat,45.0
2009,94,Winter Wheat,45.0
2010,94,Winter Wheat,38.0
2012,94,Winter Wheat,49.1
2013,94,Winter Wheat,45.5
2014,94,Winter Wheat,33.37
2018,94,Winter Wheat,60.0
1997,95,Winter Wheat,20.3
1998,95,Winter Wheat,30.0
1999,95,Winter Wheat,36.0
2000,95,Winter Wheat,41.6
2001,95,Winter Wheat,22.8
2005,95,Winter Wheat,35.0
2006,95,Winter Wheat,47.5
2010,95,Winter Wheat,53.5
2011,95,Winter Wheat,23.9
2012,95,Winter Wheat,52.4
2013,95,Winter Wheat,43.2
2014,95,Winter Wheat,34.86
2015,95,Winter Wheat,40.34
2016,95,Winter Wheat,60.2
2017,95,Winter Wheat,58.94
2019,95,Winter Wheat,55.0
2021,95,Winter Wheat,30.0
2023,95,Winter Wheat,30.0
1996,96,Winter Wheat,38.0
1997,96,Winter Wheat,16.0
1998,96,Winter Wheat,23.0
1999,96,Winter Wheat,45.0
2000,96,Winter Wheat,30.4
2001,96,Winter Wheat,21.1
2002,96,Winter Wheat,20.2
2003,96,Winter Wheat,32.4
2004,96,Winter Wheat,38.2
2005,96,Winter Wheat,23.6
2006,96,Winter Wheat,45.0
2007,96,Winter Wheat,37.1
2008,96,Winter Wheat,32.5
2009,96,Winter Wheat,37.3
2010,96,Winter Wheat,48.7
2011,96,Winter Wheat,38.7
2012,96,Winter Wheat,53.6
2013,96,Winter Wheat,42.0
2014,96,Winter Wheat,49.58
2015,96,Winter Wheat,54.12
2016,96,Winter Wheat,67.2
2017,96,Winter Wheat,44.51
2018,96,Winter Wheat,50.0
2025,96,Winter Wheat,63.0
1999,97,Winter Wheat,35.0
2000,97,Winter Wheat,28.4
2003,97,Winter Wheat,20.0
2004,97,Winter Wheat,36.2
2005,97,Winter Wheat,40.0
2008,97,Winter Wheat,25.7
2012,97,Winter Wheat,51.7
2013,97,Winter Wheat,42.7
2014,97,Winter Wheat,54.66
2015,97,Winter Wheat,40.47
2016,97,Winter Wheat,70.7
2017,97,Winter Wheat,25.22
1996,98,Winter Wheat,30.0
2005,98,Winter Wheat,43.2
2012,98,Winter Wheat,57.2
